Language_ID,Value
kuru1302,i
kuru1302,ĩ
kuru1302,iː
kuru1302,ĩː
kuru1302,j
kuru1302,jː
kuru1302,k
kuru1302,kː
kuru1302,kʰ
kuru1302,l
kuru1302,lː
kuru1302,m
kuru1302,n̪
kuru1302,ɳ
kuru1302,ŋ
kuru1302,o̞
kuru1302,õ̞
kuru1302,o̞ː
kuru1302,õ̞ː
kuru1302,p
kuru1302,pː
kuru1302,pʰ
kuru1302,r
kuru1302,r̠
kuru1302,rː
kuru1302,s̪
kuru1302,s̪ː
kuru1302,t̪
kuru1302,t̪ː
kuru1302,t̪ʰ
kuru1302,t̠ʃ
kuru1302,t̠ʃː
kuru1302,t̠ʃʰ
kuru1302,ʈ
kuru1302,ʈː
kuru1302,ʈʰ
kuru1302,u
kuru1302,ũ
kuru1302,uː
kuru1302,ũː
kuru1302,w
kuru1302,wː
kuru1302,ʔ
kuru1302,χ
telu1262,aː
telu1262,æː
telu1262,ɑ
telu1262,ɒː
telu1262,b
telu1262,b̤
telu1262,bː
telu1262,d
telu1262,d̤
telu1262,dː
telu1262,dz
telu1262,dzː
telu1262,ɖ
telu1262,ɖ̤
telu1262,ɖː
telu1262,e
telu1262,eː
telu1262,ə
telu1262,ɛ
telu1262,ɛː
telu1262,f
telu1262,ɡ
telu1262,ɡ̤
telu1262,ɡː
telu1262,ɦ
telu1262,i
telu1262,iː
telu1262,ɪ
telu1262,ɪː
telu1262,j
telu1262,k
telu1262,kː
telu1262,kʰ
telu1262,l
telu1262,lː
telu1262,ɭ
telu1262,ɭː
telu1262,m
telu1262,mː
telu1262,n
telu1262,nː
telu1262,ɳ
telu1262,o
telu1262,o̞
telu1262,oː
telu1262,ɔː
telu1262,p
telu1262,pː
telu1262,pʰ
telu1262,rː
telu1262,ɾ
telu1262,s
telu1262,ʂ
telu1262,ʃ
telu1262,t
telu1262,tː
telu1262,ts
telu1262,tsː
telu1262,t̠ʃ
telu1262,ʈ
telu1262,ʈː
telu1262,ʈʰ
telu1262,u
telu1262,uː
telu1262,ʊ
telu1262,ʊː
telu1262,β̞
telu1262,β̞ː
kota1263,a
kota1263,aː
kota1263,b
kota1263,d
kota1263,d̪
kota1263,d̠ʒ
kota1263,ɖ
kota1263,e̞
kota1263,e̞ː
kota1263,ə
kota1263,ɡ
kota1263,i
kota1263,iː
kota1263,j
kota1263,kʰ
kota1263,l
kota1263,ɭ
kota1263,m
kota1263,n
kota1263,ɳ
kota1263,ŋ
kota1263,o̞
kota1263,o̞ː
kota1263,pʰ
kota1263,r
kota1263,ɽ
kota1263,ʂ
kota1263,tʰ
kota1263,t̪ʰ
kota1263,t̠ʃʰ
kota1263,ʈʰ
kota1263,u
kota1263,uː
kota1263,v
mund1320,a
